app,best_l1_by_ipc_kb,best_ipc,best_l1_by_cycles_kb,min_cycles,plateau_1pct_l1_kb,plateau_1pct_threshold_ipc
dijkstra,16,0.286805,16,184751737.0,16,0.28393694999999997
blowfish,16,0.294579,16,11538163.0,8,0.29163321
